tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFB-3E	NWFB	NWFB-3E		lt	246.2	41.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3E	NWFB	NWFB-3E		mt	130.2	-73.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3F	NWFB	NWFB-3F		lt	251.9	45.6		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3F	NWFB	NWFB-3F		mt	128.9	-74.4		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3G	NWFB	NWFB-3G		lt	253.3	45.6		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3G	NWFB	NWFB-3G		mt	126.6	-72.3		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3H	NWFB	NWFB-3H		lt	257.5	47.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3H	NWFB	NWFB-3H		mt	150.3	-72.9		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3I	NWFB												0						171.6	0.0	0.0	90.0	-29.0					
NWFC-1	NWFC												0						231.6	0.0	0.0	88.6	-51.0					
NWFC-1A	NWFC												0						231.6	0.0	0.0	88.6	-51.0					
NWFC-1B	NWFC	NWFC-1B		lt	231.1	-1.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-1B	NWFC	NWFC-1B		mt	313.7	10.2		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-1C	NWFC	NWFC-1C		lt	226.9	-0.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-1C	NWFC	NWFC-1C		mt	307.6	-2.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2	NWFC												0						238.7	0.0	0.0	88.6	-16.0					
NWFC-2A	NWFC												0						238.7	0.0	0.0	88.6	-16.0					
NWFC-2B	NWFC	NWFC-2B		lt	5.8	-72.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2B	NWFC	NWFC-2B		mt	18.6	1.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2C	NWFC	NWFC-2C		lt	8.0	-73.2		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2C	NWFC	NWFC-2C		mt	10.2	-14.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2D	NWFC	NWFC-2D		lt	18.8	-72.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2D	NWFC	NWFC-2D		mt	12.5	-40.3		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2E	NWFC	NWFC-2E		lt	64.3	-16.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2E	NWFC	NWFC-2E		mt	13.1	-41.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2F	NWFC	NWFC-2F		lt	72.4	-10.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-2F	NWFC	NWFC-2F		mt	13.1	-46.3		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-3	NWFC												0						160.6	0.0	0.0	88.6	-26.0					
NWFC-3A	NWFC												0						160.6	0.0	0.0	88.6	-26.0					
NWFC-3B	NWFC	NWFC-3B		lt	256.8	26.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-3B	NWFC	NWFC-3B		mt	336.0	39.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-3C	NWFC	NWFC-3C		lt	265.4	35.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
NWFC-3C	NWFC	NWFC-3C		mt	336.5	39.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	
