tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	NWF-B	NWF-B-	NWF	NWF-B-1E	NWF-B-1E_LP-DIR-T	shoemake 2025-04-09 10:58:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.1	96.3	l	g	-42.7	2.9	10	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1E	NWF-B-1E_LP-DIR-T	shoemake 2025-04-09 10:58:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	12.4	192.8	l	g	-51.7	35.7	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1E	NWF-B-1E_LP-DIR-T	shoemake 2025-04-09 10:58:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.1	189.1	l	g	-41.3	2.9	10	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1F	NWF-B-1F_LP-DIR-T	shoemake 2025-04-09 11:01:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	9.8	102.0	l	g	-43.2	37.4	6	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1F	NWF-B-1F_LP-DIR-T	shoemake 2025-04-09 11:01:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	27.1	74.2	l	g	-46.7	21.4	12	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1F	NWF-B-1F_LP-DIR-T	shoemake 2025-04-09 11:01:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	9.8	194.7	l	g	-41.1	37.4	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1F	NWF-B-1F_LP-DIR-T	shoemake 2025-04-09 11:01:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	27.1	168.5	l	g	-48.3	21.4	12	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1G	NWF-B-1G_LP-DIR-T	shoemake 2025-04-09 11:03:35	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	14.0	105.9	l	g	-41.5	26.5	6	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1G	NWF-B-1G_LP-DIR-T	shoemake 2025-04-09 11:03:35	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.6	81.4	l	g	-36.4	23.5	11	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1G	NWF-B-1G_LP-DIR-T	shoemake 2025-04-09 11:03:35	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	14.0	198.0	l	g	-38.9	26.5	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1G	NWF-B-1G_LP-DIR-T	shoemake 2025-04-09 11:03:35	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.6	173.0	l	g	-37.2	23.5	11	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1H	NWF-B-1H_LP-DIR-T	shoemake 2025-04-15 15:02:33	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	513	343	K		2	lt	u	4.2	98.3	l	g	-40.8	5.2	6	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1H	NWF-B-1H_LP-DIR-T	shoemake 2025-04-15 15:02:33	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.9	89.2	l	g	-41.9	4.7	10	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1H	NWF-B-1H_LP-DIR-T	shoemake 2025-04-15 15:02:33	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	513	343	K		2	lt	u	4.2	190.6	l	g	-39.2	5.2	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1H	NWF-B-1H_LP-DIR-T	shoemake 2025-04-15 15:02:33	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.9	182.1	l	g	-41.5	4.7	10	0
